BCS,115,,NW,,,,SS
BCS,215,,WCC,,,,
BIOC,460,ACP,,,,,
BTW,250,ACP,,,,,
BTW,261,ACP,,,,,
BTW,263,ACP,,,,,
CHBE,101,,,,PS,,
CHBE,430,ACP,,,,,
CHBE,431,ACP,,,,,
CHEM,101,,,,PS,,
CHEM,102,,,,PS,,
CHEM,103,,,,PS,,
CHEM,104,,,,PS,,
CHEM,105,,,,PS,,
CHEM,108,,,,PS,,
CHEM,202,,,,PS,,
CHEM,204,,,,PS,,
CHEM,317,ACP,,,,,
CHEM,437,ACP,,,,,
CHLH,100,,,,,,SS
CHLH,101,,,,,,SS
CHLH,244,,,,,QR1,
CHLH,260,,,HP,,,
CHLH,274,,,,,QR1,
CHLH,304,ACP,,,,,BSC
CHLH,330,,,,,,SS
CHLH,421,,,,,QR2,
CHP,396,ACP,,,,,
CI,210,,,,,,BSC
CLCV,114,,WCC,LA,,,
CLCV,115,,WCC,LA,,,
CLCV,116,,WCC,HP,,,
CLCV,120,,WCC,LA,,,
CLCV,131,,WCC,HP,,,
CLCV,132,,WCC,HP,,,
CLCV,160,,WCC,HP,,,
CLCV,203,,,HP,,,
CLCV,220,,WCC,LA,,,
CLCV,221,,WCC,LA,,,
CLCV,222,ACP,WCC,LA,,,
CLCV,223,,WCC,,,,
CLCV,224,,US,LA,,,
CLCV,225,,WCC,HP,,,
CLCV,230,,WCC,,PS,,
CLCV,231,,WCC,HP,,,
CLCV,240,,WCC,LA,,,
CLCV,323,ACP,WCC,LA,,,
CMN,102,,,,,,BSC
CMN,210,,WCC,HP,,,
CMN,220,ACP,,,,,
CMN,230,,,,,,SS
CMN,231,,,,,,BSC
CMN,232,,NW,,,,SS
CMN,250,,US,,,,
CMN,260,,WCC,,,,BSC
CMN,275,,WCC,HP,,,
CMN,277,,US,,,,SS
CMN,280,,,,,,SS
CPSC,112,,,,LS,,
CPSC,113,,WCC,,LS,,
CPSC,116,,NW,,,,
CPSC,131,,NW,,,,
CPSC,241,,,,,QR1,
CPSC,261,,,,LS,,
CPSC,270,,,,LS,,
CS,101,,,,,QR2,
CS,105,,,,,QR1,
CS,107,,,,,QR1,
CS,125,,,,,QR1,
CS,225,,,,,QR2,
CS,429,ACP,,,,,
CS,493,ACP,,,,,
CS,499,ACP,,,,,
CW,100,,,LA,,,
CW,243,ACP,,,,,
CWL,111,,,LA,,,
CWL,114,,NW,LA,,,
CWL,117,,,LA,,,
CWL,151,,,LA,,,
CWL,189,,NW,LA,,,
CWL,190,,NW,LA,,,
CWL,201,,,LA,,,
CWL,202,,WCC,LA,,,
CWL,205,,,LA,,,
CWL,207,,NW,LA,,,
CWL,208,,NW,LA,,,
CWL,209,,US,LA,,,
CWL,210,,NW,LA,,,
CWL,212,,WCC,LA,,,
CWL,215,,,LA,,,
CWL,216,,WCC,LA,,,
CWL,220,,WCC,LA,,,
CWL,221,,WCC,LA,,,
CWL,223,,NW,LA,,,
CWL,225,,NW,,,,
CWL,226,,US,LA,,,
CWL,227,,,LA,,,
CWL,240,,,LA,,,
CWL,241,ACP,WCC,LA,,,
CWL,242,ACP,WCC,LA,,,
CWL,249,,,LA,,,
CWL,250,ACP,WCC,LA,,,
CWL,251,,WCC,HP,,,
CWL,252,,WCC,LA,,,
CWL,253,,WCC,LA,,,
CWL,254,,WCC,LA,,,
CWL,255,,WCC,LA,,,
CWL,257,,WCC,LA,,,
CWL,259,,US,,,,
CWL,260,,US,,,,
CWL,262,,WCC,LA,,,
CWL,263,,WCC,LA,,,
CWL,264,ACP,WCC,LA,,,
CWL,267,,,LA,,,
CWL,269,,,LA,,,
CWL,271,ACP,WCC,LA,,,
CWL,272,,,LA,,,
CWL,273,,WCC,LA,,,
CWL,275,,NW,LA,,,
CWL,276,,NW,LA,,,
CWL,283,,,LA,,,
CWL,284,,,LA,,,
CWL,307,,NW,LA,,,
CWL,308,,NW,LA,,,
CWL,311,,NW,LA,,,
CWL,312,,NW,LA,,,
CWL,320,,WCC,LA,,,
CWL,322,ACP,WCC,LA,,,
CWL,400,,NW,,,,
DANC,100,,WCC,LA,,,
DANC,125,,US,,,,
DANC,200,,,LA,,,
DANC,340,,US,HP,,,
DANC,345,,,,LS,,
DANC,441,ACP,,,,,
EALC,114,,NW,,,,
EALC,120,,NW,HP,,,
EALC,122,,NW,HP,,,
EALC,130,,NW,,,,SS
EALC,132,,NW,HP,,,
EALC,220,,NW,HP,,,
EALC,221,,NW,,,,
EALC,222,,NW,HP,,,
EALC,226,,NW,HP,,,
EALC,227,,NW,HP,,,
EALC,240,,NW,,,,
EALC,250,,NW,,,,SS
EALC,275,,NW,LA,,,
EALC,276,,NW,LA,,,
EALC,285,,NW,,,,
EALC,287,,NW,HP,,,
EALC,305,,NW,LA,,,
EALC,306,,NW,LA,,,
EALC,307,,NW,LA,,,
EALC,308,,NW,LA,,,
EALC,365,,NW,,,,SS
EALC,367,,NW,HP,,,
ECE,101,,,,PS,QR2,
ECE,316,ACP,,HP,,,
ECE,445,ACP,,,,,
ECE,496,ACP,,,,,
ECE,499,ACP,,,,,
ECON,101,,,,,,SS
ECON,102,,,,,,SS
ECON,103,,,,,,SS
ECON,202,,,,,QR1,
ECON,210,,,,,,SS
ECON,451,ACP,,,,,
EDUC,201,,US,,,,
EDUC,202,ACP,,HP,,,
ENGL,101,,,LA,,,
ENGL,102,,,LA,,,
ENGL,103,,,LA,,,
ENGL,104,,,LA,,,
ENGL,109,ACP,,LA,,,
ENGL,114,,,LA,,,
ENGL,115,,WCC,LA,,,
ENGL,116,,WCC,LA,,,
ENGL,117,,,LA,,,
ENGL,122,,,LA,,,
ENGL,150,,US,LA,,,
ENGL,200,,,LA,,,
ENGL,202,,WCC,LA,,,
ENGL,204,,WCC,LA,,,
ENGL,206,,WCC,LA,,,
ENGL,207,,WCC,LA,,,
ENGL,208,,WCC,LA,,,
ENGL,209,,WCC,LA,,,
ENGL,210,,WCC,LA,,,
ENGL,211,,NW,LA,,,
ENGL,213,,WCC,LA,,,
ENGL,216,,WCC,LA,,,
ENGL,218,,,LA,,,
ENGL,220,,,LA,,,
ENGL,222,,US,LA,,,
ENGL,223,,WCC,LA,,,
ENGL,224,,US,,,,
ENGL,225,,US,LA,,,
ENGL,241,,WCC,,,,
ENGL,245,,,LA,,,
ENGL,247,,WCC,LA,,,
ENGL,248,,,LA,,,
ENGL,250,,WCC,LA,,,
ENGL,251,,WCC,LA,,,
ENGL,253,,,LA,,,
ENGL,255,,WCC,LA,,,
ENGL,256,,WCC,LA,,,
ENGL,259,,US,,,,
ENGL,260,,US,,,,
ENGL,265,,US,LA,,,
ENGL,266,,WCC,LA,,,
ENGL,267,ACP,WCC,LA,,,
ENGL,268,ACP,WCC,LA,,,
ENGL,269,,WCC,LA,,,
ENGL,270,,,LA,,,
ENGL,272,,US,LA,,,
ENGL,275,,US,LA,,,
ENGL,276,,NW,LA,,,
ENGL,283,,,LA,,,
ENGL,284,,,LA,,,
ENGL,285,,NW,LA,,,
ENGL,286,,US,LA,,,
ENGL,330,,US,LA,,,
ENGL,350,ACP,,,,,
ENGL,359,,WCC,LA,,,
ENGL,360,ACP,,,,,
ENGL,477,ACP,,,,,
ENSU,301,,,,,,SS
ENVS,101,,,,PS,QR2,
ENVS,210,,,,,,SS
ENVS,220,ACP,,,,,
EPOL,350,ACP,,,,,SS
EPS,202,ACP,,,,,
EPS,310,ACP,US,,,,
EPS,380,,US,HP,,,
EPS,402,ACP,US,,,,
EPSY,201,,,,,,BSC
EPSY,202,,US,,,,
EPSY,220,,,,,,BSC
EPSY,222,,US,,,,SS
EPSY,280,,,,,QR1,
ESE,100,,,,PS,,
ESE,103,,,,PS,,
ESE,104,,,,PS,,
ESE,106,,NW,,,,SS
ESE,111,,,,LS,,
ESE,117,,,,PS,,
ESE,118,,,,PS,,
ESE,120,,,,PS,QR2,
ESE,140,,,,PS,,
ESE,143,,,,LS,,
ESE,202,,WCC,HP,,,
ESE,208,,,,PS,,
ESE,210,,,,,,SS
