2019,Fall,2019-fa,ACCY,451,Advanced Income Tax Problems,1,12,0,0,8,0,0,4,0,0,0,0,0,0,"Holder, Charles B"
2019,Fall,2019-fa,ACCY,451,Advanced Income Tax Problems,0,4,4,5,14,1,1,1,0,0,0,0,0,0,"Sternburg, Thomas"
2019,Fall,2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",19,12,12,13,12,8,6,3,2,0,0,0,0,0,"Augusto Sampaio, Gerlando"
2019,Fall,2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",177,183,176,68,70,11,13,1,0,0,0,0,5,4,"Urcan, Oktay"
2019,Fall,2019-fa,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",18,18,9,6,5,2,3,0,0,0,0,0,0,0,"Zhang, Li"
2019,Fall,2019-fa,ACCY,501,Accounting Analysis I A,29,61,51,27,24,12,7,7,5,0,0,0,3,1,"Augusto Sampaio, Gerlando"
2019,Fall,2019-fa,ACCY,501,Accounting Analysis I,0,10,6,3,7,0,0,0,0,0,0,0,0,0,"Davis, Gregory L"
2019,Fall,2019-fa,ACCY,502,Accounting Analysis II,19,40,23,12,10,8,2,2,1,0,0,0,0,1,"Schwartz, Rachel"
2019,Fall,2019-fa,ACCY,504,Auditing A,19,93,41,30,97,17,1,2,0,0,1,0,4,0,"Peecher, Mark E"
2019,Fall,2019-fa,ACCY,505,Federal Taxation,1,28,28,16,17,8,5,2,0,0,0,0,0,0,"Chatterton, Angel"
2019,Fall,2019-fa,ACCY,505,Federal Taxation,2,19,15,6,13,11,0,0,2,0,0,0,0,0,"Alt, Amanda J"
2019,Fall,2019-fa,ACCY,505,Federal Taxation A,15,119,38,28,24,12,7,1,0,0,0,0,2,0,"Hutchens, Matthew"
2019,Fall,2019-fa,ACCY,506,Advanced Financial Reporting,5,11,5,2,6,2,2,2,1,0,1,0,0,0,"Kustanovich, Michael"
2019,Fall,2019-fa,ACCY,510,Financial Reporting Standards,23,64,0,11,12,3,0,0,0,0,0,0,0,0,"Steward, Cynthia G"
2019,Fall,2019-fa,ACCY,510,Financial Reporting Standards,10,14,10,26,8,2,0,0,0,0,0,0,0,0,"Hepp, John"
2019,Fall,2019-fa,ACCY,512,Data Analytics for Mgmt Acctg,4,62,32,19,0,1,0,0,0,0,0,0,0,0,"Du, Fei"
2019,Fall,2019-fa,ACCY,515,Auditing & Assurance Standards,0,13,22,15,16,4,0,0,0,0,0,0,0,0,"Zhou, Yuepin"
2019,Fall,2019-fa,ACCY,517,Financial Statement Analysis,0,24,31,12,9,1,0,0,1,0,0,0,0,0,"Hamm, Brian K"
2019,Fall,2019-fa,ACCY,518,Financial Statement Fraud,32,7,2,1,0,0,0,0,0,0,0,0,0,0,"Nekrasz, Frank"
2019,Fall,2019-fa,ACCY,551,Corporate Income Taxation,0,9,10,10,15,1,0,0,0,0,0,0,0,0,"Sternburg, Thomas"
2019,Fall,2019-fa,ACCY,556,Tax Research,0,27,0,0,24,0,0,3,0,0,0,0,0,0,"Holder, Daniel E"
2019,Fall,2019-fa,ACCY,569,Data Driven Decisions in Acctg,2,12,8,8,5,3,0,0,0,0,0,0,1,0,"Guymon, Ronald N"
2019,Fall,2019-fa,ACCY,570,Data Analytics Foundations,10,64,9,2,2,0,0,0,0,0,0,0,0,0,"Anand, Vic"
2019,Fall,2019-fa,ACCY,570,Data Analytics Foundations,5,34,3,1,0,0,0,0,0,0,0,0,0,0,"Mendoza, Kimberly"
2019,Fall,2019-fa,ACCY,570,Data Analytics Foundations,16,22,3,1,0,2,0,0,0,0,0,0,0,0,"Herbold, T J"
2019,Fall,2019-fa,ACE,100,Agr Cons and Resource Econ,5,22,26,16,29,7,8,10,3,1,1,4,3,0,"Gundersen, Lisa C"
2019,Fall,2019-fa,ACE,161,Microcomputer Applications,0,48,0,0,16,0,0,3,0,0,0,0,1,0,"Burnett, Meghan L"
2019,Fall,2019-fa,ACE,161,Microcomputer Applications,17,22,0,1,8,0,1,4,0,1,0,0,1,0,"Burak, Steven"
